step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,82928.73413257417,306836316.2905244
2,3700.0,75169.59485189093,278127500.95199645
3,3700.0,68186.36949927601,252289567.14732125
4,3700.0,61901.46668192258,229035426.72311357
5,3700.0,56245.054146304494,208106700.34132662
6,3700.0,51154.28286424822,189270846.59771842
7,3700.0,46572.58871039757,172318578.228471
8,3700.0,42449.06397193199,157061536.69614837
9,3700.0,38737.89170731296,143330199.31705797
10,3700.0,35397.83666915584,130971995.6758766
11,3700.0,32391.78713481443,119849612.39881338
12,3700.0,29686.342553907158,109839467.44945648
13,3700.0,27251.442431090614,100830336.99503528
14,3700.0,25060.032320555725,92722119.58605619
15,3700.0,23087.763221074325,85424723.91797501
16,3700.0,21312.721031541067,78857067.81670195
17,3700.0,19715.18306096113,72946177.32555619
18,3700.0,18277.39888743919,67626375.883525
19,3700.0,16983.393131269444,62838554.58569694
20,3700.0,15818.787950716673,58529515.41765169
21,3700.0,14770.643288219178,54651380.16641096
22,3700.0,13827.313091971433,51161058.4402943
23,3700.0,12978.315915348463,48019768.886789314
24,3700.0,12214.218456387789,45192608.28863482
25,3700.0,11526.530743323183,42648163.75029577
26,3700.0,10907.611801565037,40358163.66579064
27,3700.0,10350.584753982706,38297163.589736015
28,3700.0,9849.260411158608,36442263.52128685
29,3700.0,9398.06850261692,34772853.4596826
30,3700.0,8991.9957849294,33270384.404238783
31,3700.0,8626.530339010633,31918162.25433934
32,3700.0,8297.611437683743,30701162.31942985
33,3700.0,8001.584426489541,29605862.3780113
34,3700.0,7735.16011641476,28620092.430734612
35,3700.0,7495.378237347456,27732899.478185587
36,3700.0,7279.574546186883,26934425.820891466
37,3700.0,7085.351224142367,26215799.529326756
38,3700.0,6910.550234302303,25569035.86691852
39,3700.0,6753.229343446245,24986948.57075111
40,3700.0,6611.640541675793,24463070.004200436
41,3700.0,6484.210620082386,23991579.29430483
42,3700.0,6369.523690648321,23567237.655398786
43,3700.0,6266.305454157661,23185330.180383347
44,3700.0,6173.4090413160675,22841613.45286945
45,3700.0,6089.802269758633,22532268.398106944
46,3700.0,6014.556175356943,22253857.848820686
47,3700.0,5946.834690395421,22003288.354463056
48,3700.0,5885.885353930052,21777775.809541192
49,3700.0,5831.030951111219,21574814.51911151
50,3700.0,5781.66198857427,21392149.3577248
51,3700.0,5737.229922291016,21227750.71247676
52,3700.0,5697.241062636087,21079791.931753524
53,3700.0,5661.251088946651,20946629.02910261
54,3700.0,5628.860112626158,20826782.416716784
55,3700.0,5599.708233937715,20718920.465569545
56,3700.0,5573.471543118116,20621844.70953703
57,3700.0,5549.858521380477,20534476.529107764
58,3700.0,5528.6068018166025,20455845.16672143
59,3700.0,5509.480254209115,20385076.940573726
60,3700.0,5492.266361362376,20321385.537040792
61,3700.0,5476.773857800312,20264063.273861155
62,3700.0,5462.830604594454,20212473.23699948
63,3700.0,5450.281676709181,20166042.20382397
64,3700.0,5438.987641612435,20124254.27396601
65,3700.0,5428.823010025364,20086645.137093846
66,3700.0,5419.6748415970005,20052796.913908903
67,3700.0,5411.441490011473,20022333.51304245
68,3700.0,5404.031473584499,19994916.452262644
69,3700.0,5397.362458800221,19970241.09756082
70,3700.0,5391.360345494371,19948033.278329175
71,3700.0,5385.958443519107,19928046.241020698
72,3700.0,5381.096731741369,19910057.907443065
73,3700.0,5376.721191141404,19893868.407223195
74,3700.0,5372.783204601436,19879297.857025314
75,3700.0,5369.239016715465,19866184.36184722
76,3700.0,5366.049247618092,19854382.21618694
77,3700.0,5363.178455430455,19843760.28509268
78,3700.0,5360.594742461582,19834200.547107857
79,3700.0,5358.269400789597,19825596.782921508
80,3700.0,5356.17659328481,19817853.3951538
81,3700.0,5354.293066530502,19810884.34616286
82,3700.0,5352.597892451625,19804612.20207101
83,3700.0,5351.072235780635,19798967.27238835
84,3700.0,5349.699144776744,19793886.835673954
85,3700.0,5348.463362873243,19789314.442631
86,3700.0,5347.351159160091,19785199.288892336
87,3700.0,5346.350175818255,19781495.65052754
88,3700.0,5345.449290810602,19778162.375999227
89,3700.0,5344.638494303715,19775162.428923745
90,3700.0,5343.908777447516,19772462.47655581
91,3700.0,5343.252032276937,19770032.519424666
92,3700.0,5342.660961623416,19767845.55800664
93,3700.0,5342.128998035248,19765877.292730417
94,3700.0,5341.650230805895,19764105.85398181
95,3700.0,5341.219340299478,19762511.559108067
96,3700.0,5340.831538843703,19761076.6937217
97,3700.0,5340.482517533505,19759785.31487397
98,3700.0,5340.168398354328,19758623.073911015
99,3700.0,5339.885691093068,19757577.057044353
100,3700.0,5339.631254557934,19756635.641864356
