step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,88088.82898283913
1,3700.0,91203.88289828392,337454366.7236505,88088.82898283913
2,3700.0,90892.37750673945,336301796.77493596,88088.82898283913
3,3700.0,90612.02265434942,335264483.82109284,88088.82898283913
4,3700.0,90359.7032871984,334330902.1626341,88088.82898283913
5,3700.0,90132.61585676248,333490678.6700211,88088.82898283913
6,3700.0,89928.23716937013,332734477.5266695,88088.82898283913
7,3700.0,89744.29635071702,332053896.49765295,88088.82898283913
8,3700.0,89578.74961392923,331441373.57153815,88088.82898283913
9,3700.0,89429.75755082023,330890102.93803483,88088.82898283913
10,3700.0,89295.66469402213,330393959.36788183,88088.82898283913
11,3700.0,89174.98112290383,329947430.15474415,88088.82898283913
12,3700.0,89066.36590889737,329545553.8629202,88088.82898283913
13,3700.0,88968.61221629154,329183865.2002787,88088.82898283913
14,3700.0,88880.6338929463,328858345.4039013,88088.82898283913
15,3700.0,88801.45340193558,328565377.58716166,88088.82898283913
16,3700.0,88730.19096002594,328301706.55209595,88088.82898283913
17,3700.0,88666.05476230726,328064402.62053686,88088.82898283913
18,3700.0,88608.33218436045,327850829.08213365,88088.82898283913
19,3700.0,88556.38186420832,327658612.8975708,88088.82898283913
20,3700.0,88509.6265760714,327485618.3314642,88088.82898283913
21,3700.0,88467.54681674817,327329923.22196823,88088.82898283913
22,3700.0,88429.67503335727,327189797.6234219,88088.82898283913
23,3700.0,88395.59042830546,327063684.5847302,88088.82898283913
24,3700.0,88364.91428375882,326950182.84990764,88088.82898283913
25,3700.0,88337.30575366685,326848031.28856736,88088.82898283913
26,3700.0,88312.45807658408,326756094.8833611,88088.82898283913
27,3700.0,88290.09516720958,326673352.1186755,88088.82898283913
28,3700.0,88269.96854877254,326598883.6304584,88088.82898283913
29,3700.0,88251.8545921792,326531861.991063,88088.82898283913
30,3700.0,88235.55203124518,326471542.5156072,88088.82898283913
31,3700.0,88220.87972640459,326417254.98769695,88088.82898283913
32,3700.0,88207.67465204804,326368396.21257776,88088.82898283913
33,3700.0,88195.79008512714,326324423.31497043,88088.82898283913
34,3700.0,88185.09397489834,326284847.7071238,88088.82898283913
35,3700.0,88175.46747569242,326249229.66006196,88088.82898283913
36,3700.0,88166.8036264071,326217173.41770625,88088.82898283913
37,3700.0,88159.0061620503,326188322.7995861,88088.82898283913
38,3700.0,88151.98844412918,326162357.24327797,88088.82898283913
39,3700.0,88145.67249800017,326138988.2426006,88088.82898283913
40,3700.0,88139.98814648407,326117956.1419911,88088.82898283913
41,3700.0,88134.87223011958,326099027.25144243,88088.82898283913
42,3700.0,88130.26790539153,326081991.2499487,88088.82898283913
43,3700.0,88126.12401313629,326066658.84860426,88088.82898283913
44,3700.0,88122.39451010658,326052859.6873943,88088.82898283913
45,3700.0,88119.03795737983,326040440.4423054,88088.82898283913
46,3700.0,88116.01705992575,326029263.1217253,88088.82898283913
47,3700.0,88113.2982522171,326019203.53320324,88088.82898283913
48,3700.0,88110.85132527929,326010149.9035334,88088.82898283913
49,3700.0,88108.64909103527,326002001.6368305,88088.82898283913
50,3700.0,88106.66708021566,325994668.1967979,88088.82898283913
51,3318.308384054001,94748.4958259595,314404728.07578695,154524.95453765406
52,3318.308384054001,100726.14169712896,334240400.4869943,154524.95453765406
53,3318.308384054001,106106.02298118146,352092505.65708095,154524.95453765406
54,3251.297931476214,112114.28046209927,364516928.1553675,166188.59779035952
55,3122.9281601722423,119756.07886359222,373989631.03492004,188532.26447702886
56,3122.9281601722423,126633.69742493589,395467939.71506345,188532.26447702886
57,3122.9281601722423,132823.55413014517,414798417.52719253,188532.26447702886
58,3122.9281601722423,138394.42516483355,432195847.5581087,188532.26447702886
59,2954.2353196137856,146344.42730660073,432335875.977812,217894.44658250525
60,2463.5866886362937,162039.5157042934,399198393.92216885,303295.31128352723
61,2178.686278130941,181123.98842418494,394612348.2201191,352884.2429032089
62,2178.686278130941,198300.01387208732,432033519.1762919,352884.2429032089
63,2178.686278130941,213758.4367751995,465712573.0368474,352884.2429032089
64,2178.686278130941,227671.01738800041,496023721.51134735,352884.2429032089
65,2169.186657092726,240357.68756300883,521380688.791341,354537.7191380846
66,2113.3459425458614,252747.63785472617,534143194.9483363,364257.19048018224
67,2010.1039341500395,265695.5932990328,534075757.37671465,382227.1922977922
68,2010.1039341500395,277348.7531989087,557499819.9367348,382227.1922977922
69,2113.3459425458614,286039.59692703607,604500621.5732054,364257.19048018224
70,2216.587950941683,292064.3561005897,647386332.6321082,346287.1886625723
71,2216.587950941683,297486.63935678796,659405300.3643901,346287.1886625723
72,2113.3459425458614,304163.6944691274,642803109.5760894,364257.19048018224
73,2010.1039341500395,311970.0442519939,627092213.2878948,382227.1922977922
74,2010.1039341500395,318995.75905657373,641214630.256797,382227.1922977922
75,2113.3459425458614,323521.9021989346,683713699.3368374,364257.19048018224
76,2216.587950941683,325798.43084529834,722160876.2473955,346287.1886625723
77,2216.587950941683,327847.3066270257,726702389.6181487,346287.1886625723
78,2113.3459425458614,331488.29501234135,700549443.2657771,364257.19048018224
79,2010.1039341500395,336562.18474088644,676524971.6337882,382227.1922977922
80,2010.1039341500395,341128.685496577,685704112.768101,382227.1922977922
81,2113.3459425458614,343441.5359949375,725810776.5966196,364257.19048018224
82,2216.587950941683,343726.101261701,761899134.4808474,346287.1886625723
83,2216.587950941683,343982.21000178816,762466822.0282553,346287.1886625723
84,2113.3459425458614,346009.70804962754,731238212.5881585,364257.19048018224
85,2010.1039341500395,349631.456474444,702795566.1618882,382227.1922977922
