step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,12985.602753282932
1,3700.0,83693.56027532829,309666173.01871467,12985.602753282932
2,3700.0,76622.76452312375,283504228.7355579,12985.602753282932
3,3700.0,70259.04834613967,259958478.88071677,12985.602753282932
4,3700.0,64531.70378685399,238767304.01135975,12985.602753282932
5,3700.0,59377.09368349689,219695246.6289385,12985.602753282932
6,3700.0,54737.94459047549,202530394.9847593,12985.602753282932
7,3700.0,50562.71040675623,187082028.5049981,12985.602753282932
8,3700.0,46804.999641408904,173178498.67321295,12985.602753282932
9,3700.0,43423.059952596304,160665321.82460633,12985.602753282932
10,3700.0,40379.31423266497,149403462.6608604,12985.602753282932
11,3700.0,37639.943084726765,139267789.41348904,12985.602753282932
12,3700.0,35174.50905158238,130145683.4908548,12985.602753282932
13,3700.0,32955.618421752435,121935788.16048402,12985.602753282932
14,3700.0,30958.61685490549,114546882.3631503,12985.602753282932
15,3700.0,29161.31544474323,107896867.14554995,12985.602753282932
16,3700.0,27543.744175597203,101911853.44970964,12985.602753282932
17,3700.0,26087.930033365777,96525341.12345338,12985.602753282932
18,3700.0,24777.69730535749,91677480.02982272,12985.602753282932
19,3700.0,23598.487850150035,87314405.04555513,12985.602753282932
20,3700.0,22537.199340463325,83387637.5597143,12985.602753282932
21,3700.0,21582.03968174529,79853546.82245755,12985.602753282932
22,3700.0,20722.39598889905,76672865.15892649,12985.602753282932
23,3700.0,19948.716665337437,73810251.66174851,12985.602753282932
24,3700.0,19252.405274131987,71233899.51428835,12985.602753282932
25,3700.0,18625.72502204708,68915182.5815742,12985.602753282932
26,3700.0,18061.712795170668,66828337.34213147,12985.602753282932
27,3700.0,17554.101790981895,64950176.62663301,12985.602753282932
28,3700.0,17097.251887211998,63259831.9826844,12985.602753282932
29,3700.0,16686.086973819092,61738521.80313064,12985.602753282932
30,3700.0,16316.038551765476,60369342.64153226,12985.602753282932
31,3700.0,15982.994971917222,59137081.39609372,12985.602753282932
32,3700.0,15683.255750053791,58028046.27519903,12985.602753282932
33,3700.0,15413.490450376708,57029914.66639382,12985.602753282932
34,3700.0,15170.70168066733,56131596.21846912,12985.602753282932
35,3700.0,14952.191787928889,55323109.61533689,12985.602753282932
36,3700.0,14755.532884464294,54595471.67251789,12985.602753282932
37,3700.0,14578.539871346158,53940597.52398079,12985.602753282932
38,3700.0,14419.246159539836,53351210.7902974,12985.602753282932
39,3700.0,14275.881818914146,52820762.72998234,12985.602753282932
40,3700.0,14146.853912351024,52343359.475698784,12985.602753282932
41,3700.0,14030.728796444217,51913696.5468436,12985.602753282932
42,3700.0,13926.216192128086,51526999.91087392,12985.602753282932
43,3700.0,13832.15484824357,51178972.93850121,12985.602753282932
44,3700.0,13747.499638747506,50865748.663365774,12985.602753282932
45,3700.0,13671.309950201048,50583846.81574388,12985.602753282932
46,3700.0,13602.739230509236,50330135.15288417,12985.602753282932
47,3700.0,13541.025582786606,50101794.65631044,12985.602753282932
48,3700.0,13485.483299836238,49896288.20939408,12985.602753282932
49,3700.0,13435.495245180908,49711332.40716936,12985.602753282932
50,3700.0,13390.50599599111,49544872.18516711,12985.602753282932
51,3354.213129859036,15923.926007279819,53412241.69252174,38724.70610887819
52,2964.9527204488963,21101.51539662084,62564995.48080523,67699.81990069005
53,2954.3323941337594,25840.39965163984,76341129.76820229,68490.35794681084
54,2954.3323941337594,30105.395481156942,88941345.10819004,68490.35794681084
55,2954.3323941337594,33943.89172772233,100281538.91417903,68490.35794681084
56,2954.3323941337594,37398.538349631184,110487713.3395691,68490.35794681084
57,2954.3323941337594,40507.72030934915,119673270.32242018,68490.35794681084
58,2944.44755994564,43379.56314471166,127728848.85295406,69226.14866297427
59,2784.25486103799,47156.637253645364,131296096.50366727,81150.30423404867
60,2479.0865436161203,52827.56471388946,130964104.81421313,103865.91185608626
61,2162.3286519107523,60289.22872046521,130365126.66386254,127444.204779647
62,2162.3286519107523,67004.72632638339,144886239.5489775,127444.204779647
63,2162.3286519107523,73048.67417170975,157955241.14558092,127444.204779647
64,2162.3286519107523,78488.22723250347,169717342.58252403,127444.204779647
65,2119.7564422448218,83700.71686463953,177425133.79432943,130613.12355386405
66,1988.498473012375,89368.99360058854,177710107.30942303,140383.48422412958
67,1880.3647959081584,95275.35000082721,179152414.0593838,148432.55760297526
68,1879.8255542473576,100595.08467771714,189101210.80884948,148472.69676972655
69,1987.959231351574,104577.93854903351,207896678.3342688,140423.6233908809
70,2096.632150116591,107353.58577865855,225080979.3738348,132334.41084528394
71,2096.632150116591,109851.6682853211,230318539.47094733,132334.41084528394
72,1987.959231351574,112908.86379587707,224458218.08443135,140423.6233908809
73,1879.286312586557,116469.26100993715,218879088.05304605,148512.83593647782
74,1879.286312586557,119673.61850259121,224900993.229625,148512.83593647782
75,1987.959231351574,121748.61899142018,242031291.02829933,140423.6233908809
76,2096.632150116591,122807.19817680656,257481519.96323225,132334.41084528394
77,2096.632150116591,123759.9194436543,259479026.00140506,132334.41084528394
78,1987.959231351574,125426.28983837696,249342350.73837963,140423.6233908809
79,1879.286312586557,127734.94444818705,240050532.74048212,148512.83593647782
80,1879.286312586557,129812.73359701612,243955293.4483175,148512.83593647782
81,1987.959231351574,130873.8225764026,260171823.7330276,140423.6233908809
82,2096.632150116591,131019.88140329074,274700495.6546022,132334.41084528394
83,2096.632150116591,131151.33434749005,274976104.123638,132334.41084528394
84,1987.959231351574,132078.56325182912,262566799.0801265,140423.6233908809
85,1879.286312586557,133721.990520294,251301906.47661784,148512.83593647782
