step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,42132.27035124332
1,3700.0,86608.22703512434,320450440.02996004,42132.27035124332
2,3700.0,82160.63136673623,303994336.05692405,42132.27035124332
3,3700.0,78157.79526518694,289183842.4811917,42132.27035124332
4,3700.0,74555.24277379258,275854398.26303256,42132.27035124332
5,3700.0,71312.94553153765,263857898.46668932,42132.27035124332
6,3700.0,68394.87801350822,253061048.64998043,42132.27035124332
7,3700.0,65768.61724728173,243343883.8149424,42132.27035124332
8,3700.0,63404.98255767789,234598435.4634082,42132.27035124332
9,3700.0,61277.71133703443,226727531.9470274,42132.27035124332
10,3700.0,59363.16723845532,219643718.78228468,42132.27035124332
11,3700.0,57640.07754973412,213268286.93401623,42132.27035124332
12,3700.0,56089.29682988504,207530398.27057466,42132.27035124332
13,3700.0,54693.59418202087,202366298.4734772,42132.27035124332
14,3700.0,53437.46179894311,197718608.6560895,42132.27035124332
15,3700.0,52306.94265417314,193535687.82044062,42132.27035124332
16,3700.0,51289.47542388016,189771059.0683566,42132.27035124332
17,3700.0,50373.75491661647,186382893.19148093,42132.27035124332
18,3700.0,49549.60646007915,183333543.90229285,42132.27035124332
19,3700.0,48807.87284919557,180589129.5420236,42132.27035124332
20,3700.0,48140.31259940034,178119156.61778125,42132.27035124332
21,3700.0,47539.50837458464,175896180.98596317,42132.27035124332
22,3700.0,46998.78457225051,173895502.91732687,42132.27035124332
23,3700.0,46512.13315014979,172094892.65555423,42132.27035124332
24,3700.0,46074.146870259145,170474343.41995883,42132.27035124332
25,3700.0,45679.95921835756,169015849.10792297,42132.27035124332
26,3700.0,45325.19033164613,167703204.2270907,42132.27035124332
27,3700.0,45005.89833360585,166521823.83434165,42132.27035124332
28,3700.0,44718.5355353696,165458581.4808675,42132.27035124332
29,3700.0,44459.90901695697,164501663.36274078,42132.27035124332
30,3700.0,44227.1451503856,163640437.05642673,42132.27035124332
31,3700.0,44017.65767047137,162865333.38074407,42132.27035124332
32,3700.0,43829.11893854857,162167740.07262972,42132.27035124332
33,3700.0,43659.43407981805,161539906.09532678,42132.27035124332
34,3700.0,43506.717706960575,160974855.51575413,42132.27035124332
35,3700.0,43369.27297138885,160466309.99413875,42132.27035124332
36,3700.0,43245.5727093743,160008619.0246849,42132.27035124332
37,3700.0,43134.2424735612,159596697.15217644,42132.27035124332
38,3700.0,43034.04526132941,159225967.46691883,42132.27035124332
39,3700.0,42943.8677703208,158892310.75018698,42132.27035124332
40,3700.0,42862.70802841305,158592019.70512828,42132.27035124332
41,3700.0,42789.66426069608,158321757.7645755,42132.27035124332
42,3700.0,42723.9248697508,158078522.01807797,42132.27035124332
43,3700.0,42664.75941790005,157859609.84623018,42132.27035124332
44,3700.0,42611.51051123438,157662588.8915672,42132.27035124332
45,3700.0,42563.58649523527,157485270.0323705,42132.27035124332
46,3700.0,42520.45488083608,157325683.05909348,42132.27035124332
47,3700.0,42481.6364278768,157182054.78314418,42132.27035124332
48,3700.0,42446.69982021346,157052789.33478978,42132.27035124332
49,3700.0,42415.256873316444,156936450.43127084,42132.27035124332
50,3700.0,42386.95822110913,156831745.41810378,42132.27035124332
51,3700.0,42361.48943412255,156737510.90625343,42132.27035124332
52,3700.0,42338.56752583463,156652699.84558815,42132.27035124332
53,3700.0,42317.9378083755,156576369.89098936,42132.27035124332
54,3700.0,42299.371062662285,156507672.93185046,42132.27035124332
55,3700.0,42282.66099152039,156445845.66862544,42132.27035124332
56,3700.0,42267.62192749269,156390201.13172296,42132.27035124332
57,3700.0,42254.08676986775,156340121.04851067,42132.27035124332
58,3700.0,42241.9051280053,156295048.9736196,42132.27035124332
59,3700.0,42230.94165032911,156254484.10621768,42132.27035124332
60,3700.0,42221.07452042053,156217975.72555596,42132.27035124332
61,3700.0,42212.19410350281,156185118.1829604,42132.27035124332
62,3700.0,42204.20172827686,156155546.39462438,42132.27035124332
63,3700.0,42197.0085905735,156128931.78512195,42132.27035124332
64,3700.0,42190.534766640485,156104978.6365698,42132.27035124332
65,3700.0,42184.70832510077,156083420.80287287,42132.27035124332
66,3700.0,42179.46452771503,156064018.7525456,42132.27035124332
67,3700.0,42174.74511006786,156046556.9072511,42132.27035124332
68,3700.0,42170.497634185405,156030841.246486,42132.27035124332
69,3700.0,42166.6749058912,156016697.15179744,42132.27035124332
70,3700.0,42163.23445042641,156003967.4665777,42132.27035124332
71,3700.0,42160.1380405081,155992510.74987996,42132.27035124332
72,3700.0,42157.351271581625,155982199.704852,42132.27035124332
73,3700.0,42154.8431795478,155972919.76432687,42132.27035124332
74,3700.0,42152.58589671735,155964567.8178542,42132.27035124332
75,3700.0,42150.55434216995,155957051.0660288,42132.27035124332
76,3700.0,42148.72594307728,155950285.98938593,42132.27035124332
77,3700.0,42147.08038389389,155944197.42040738,42132.27035124332
78,3700.0,42145.59938062883,155938717.70832667,42132.27035124332
79,3700.0,42144.26647769028,155933785.96745405,42132.27035124332
80,3700.0,42143.06686504559,155929347.40066868,42132.27035124332
81,3700.0,42141.98721366536,155925352.69056183,42132.27035124332
82,3700.0,42141.01552742315,155921757.45146567,42132.27035124332
83,3700.0,42140.14100980517,155918521.73627913,42132.27035124332
84,3700.0,42139.35394394898,155915609.59261122,42132.27035124332
85,3700.0,42138.645584678416,155912988.66331014,42132.27035124332
86,3700.0,42138.008061334906,155910629.82693914,42132.27035124332
87,3700.0,42137.43429032575,155908506.87420526,42132.27035124332
88,3700.0,42136.91789641751,155906596.21674478,42132.27035124332
89,3700.0,42136.45314190009,155904876.62503034,42132.27035124332
90,3700.0,42136.034862834415,155903328.99248734,42132.27035124332
91,3700.0,42135.65841167531,155901936.12319863,42132.27035124332
92,3700.0,42135.31960563211,155900682.5408388,42132.27035124332
93,3700.0,42135.01468019323,155899554.31671494,42132.27035124332
94,3700.0,42134.74024729824,155898538.9150035,42132.27035124332
95,3700.0,42134.493257692746,155897625.05346316,42132.27035124332
96,3700.0,42134.27096704781,155896802.5780769,42132.27035124332
97,3700.0,42134.07090546736,155896062.35022923,42132.27035124332
98,3700.0,42133.89085004496,155895396.14516637,42132.27035124332
99,3700.0,42133.72880016479,155894796.56060973,42132.27035124332
100,3700.0,42133.58295527264,155894256.93450877,42132.27035124332
101,3700.0,42133.45169486971,155893771.27101794,42132.27035124332
102,3700.0,42133.333560507075,155893334.17387617,42132.27035124332
103,3475.624212321269,44941.973838697166,156201412.42328492,70219.736342408
104,3277.30409699388,49952.33056365923,163708977.610673,95045.54108831781
105,3277.30409699388,54461.651616125084,178487393.9705801,95045.54108831781
106,3277.30409699388,58520.04056334436,191787968.6944965,95045.54108831781
107,3277.30409699388,62172.590615841706,203758485.9460213,95045.54108831781
108,3277.30409699388,65459.88566308931,214531951.47239357,95045.54108831781
109,3277.30409699388,68418.45120561216,224228070.4461286,95045.54108831781
110,3277.30409699388,71081.16019388272,232954577.52249014,95045.54108831781
111,3277.30409699388,73477.59828332622,240808433.89121553,95045.54108831781
112,3277.30409699388,75634.39256382539,247876904.6230684,95045.54108831781
113,3277.30409699388,77575.50741627463,254238528.281736,95045.54108831781
114,3277.30409699388,79322.51078347895,259963989.5745368,95045.54108831781
115,3277.30409699388,80894.81381396284,265116904.73805755,95045.54108831781
116,3277.30409699388,82309.88654139834,269754528.38522625,95045.54108831781
117,3276.10036967238,83598.52031097178,273877143.29483867,95196.22423713276
118,3042.8089027099873,87678.64419276084,266789359.127274,124399.75912886235
119,2639.3438475672965,96401.35010753451,254436310.30350214,174905.70334049757
120,2527.6594478253664,105649.85596774038,267046856.59824815,188886.4087095933
121,2527.6594478253664,113973.51124192568,288086222.49248403,188886.4087095933
122,2527.6594478253664,121464.80098869244,307021651.79729635,188886.4087095933
123,2527.6594478253664,128206.96176078252,324063538.1716274,188886.4087095933
124,2527.6594478253664,134274.9064556636,339401235.90852535,188886.4087095933
125,2523.9214513396005,139782.84909580648,352800931.36227226,189354.33285709255
126,2523.9214513396005,144739.9974719351,365312384.4862565,189354.33285709255
127,2498.9388534800905,149514.16433832428,373626754.4106459,192481.66613582685
128,2460.8738575430725,154287.41391664854,379681863.4554076,197246.6601215668
129,2460.8738575430725,158583.33853714037,390253592.04795164,197246.6601215668
130,2460.8738575430725,162449.67069558302,399768147.7812412,197246.6601215668
131,2460.8738575430725,165929.3696381814,408331247.94120187,197246.6601215668
132,2460.8738575430725,169061.09868651995,416038038.08516645,197246.6601215668
133,2460.8738575430725,171879.65483002464,422974149.2147345,197246.6601215668
134,2460.8738575430725,174416.35535917885,429216649.23134583,197246.6601215668
135,2407.2575184041925,177370.55767517528,426976608.5071102,203958.37851914327
136,2407.2575184041925,180029.3397595721,433376981.6695727,203958.37851914327
137,2263.326402983028,184223.98006675715,416958998.1477105,221975.7428314227
138,2108.5311348091486,189936.89074647956,400487847.78779584,241353.0868639811
139,2060.6341970014764,195678.08646475695,403220956.5730899,247348.84792925336
140,2060.6341970014764,200845.1626112066,413868410.3789746,247348.84792925336
141,2060.6341970014764,205495.53114301126,423451118.8042709,247348.84792925336
142,2060.6341970014764,209680.86282163547,432075556.3870375,247348.84792925336
143,2060.6341970014764,213447.66133239726,439837550.2115275,247348.84792925336
144,2060.6341970014764,216837.77999208285,446823344.65356845,247348.84792925336
145,2030.0608213534108,220271.60573138404,447164756.8518882,251176.03738509474
146,1956.0810404978051,224288.1312518579,438725761.1504425,260436.86093612268
147,1956.0810404978051,227903.00422028438,445796745.62778956,260436.86093612268
148,2030.0608213534108,230230.3075367654,467381527.21853435,251176.03738509474
149,2104.0406022090165,231398.79816649554,486872466.64467597,241915.21383406676
150,2104.0406022090165,232450.43973325266,489085163.2001036,241915.21383406676
151,2030.0608213534108,234322.99949843687,475689940.8237916,251176.03738509474
152,1956.0810404978051,236934.38564220545,463462859.5967135,260436.86093612268
153,1956.0810404978051,239284.63317159718,468060134.2294334,260436.86093612268
154,2030.0608213534108,240473.77359294693,488176386.334052,251176.03738509474
155,2104.0406022090165,240617.9176170589,506269868.2852761,241915.21383406676
156,2104.0406022090165,240747.6472387597,506542824.67664385,241915.21383406676
157,2030.0608213534108,241790.4862533932,490849393.119004,251176.03738509474
158,1956.0810404978051,243655.12372166614,476609167.93209815,260436.86093612268
159,1956.0810404978051,245333.2974431118,479891811.7312797,260436.86093612268
160,2030.0608213534108,245917.5714373101,499227627.0572618,251176.03738509474
161,2104.0406022090165,245517.33567698576,516578442.8105584,241915.21383406676
162,2104.0406022090165,245157.12349269388,515820541.7493979,241915.21383406676
163,2030.0608213534108,245759.01488193395,498905747.60622394,251176.03738509474
164,1956.0810404978051,247226.79948735284,483595655.1801634,260436.86093612268
165,1956.0810404978051,248547.80563222984,486179650.25453836,260436.86093612268
166,2030.0608213534108,248810.62880751633,505100709.47844523,251176.03738509474
167,2104.0406022090165,248121.08731017137,522056841.96484894,241915.21383406676
168,2104.0406022090165,247500.4999625609,520751100.98825926,241915.21383406676
169,2030.0608213534108,247868.0537048143,503187224.69126666,251176.03738509474
170,1956.0810404978051,249124.93442794512,487308560.94976234,260436.86093612268
171,1956.0810404978051,250256.12707876286,489521265.4471774,260436.86093612268
172,2030.0608213534108,250348.11810939605,508221906.27344126,251176.03738509474
173,2104.0406022090165,249504.82768186313,524968287.8898042,241915.21383406676
174,2104.0406022090165,248745.8662970835,523371402.32071906,241915.21383406676
175,2030.0608213534108,248988.8834058846,505462577.1548188,251176.03738509474
176,1956.0810404978051,250133.6811589084,489281751.3048638,260436.86093612268
177,1956.0810404978051,251163.99913662983,491297136.7667687,260436.86093612268
178,2030.0608213534108,251165.20296147632,509880638.2193707,251176.03738509474
179,2104.0406022090165,250240.20404873535,526515549.6236083,241915.21383406676
180,2104.0406022090165,249407.7050272685,524763937.88114274,241915.21383406676
181,2030.0608213534108,249584.53826305113,506671792.74340135,251176.03738509474
182,1956.0810404978051,250669.77053035828,490330385.56036925,260436.86093612268
183,1956.0810404978051,251646.47957093472,492240907.5967237,260436.86093612268
184,2030.0608213534108,251599.43535235073,510762156.3834475,251176.03738509474
185,2104.0406022090165,250631.01320052234,527337827.946683,241915.21383406676
186,2104.0406022090165,249759.4332638768,525503988.37191,241915.21383406676
187,2030.0608213534108,249901.0936759986,507314419.48501337,251176.03738509474
188,1956.0810404978051,250954.670402011,490887672.7977494,260436.86093612268
189,1956.0810404978051,251902.88945542215,492742466.11036575,260436.86093612268
190,2030.0608213534108,251830.2042483894,511230631.2780826,251176.03738509474
191,2104.0406022090165,250838.70520695715,527774820.3609761,241915.21383406676
192,2104.0406022090165,249946.3560696681,525897281.54477376,241915.21383406676
193,2030.0608213534108,250069.32420121078,507655937.6832023,251176.03738509474
194,1956.0810404978051,251106.07787470196,491183838.0844699,260436.86093612268
195,1956.0810404978051,252039.15618084403,493009014.8684142,260436.86093612268
196,2030.0608213534108,251952.8443012691,511479598.0445624,251176.03738509474
197,2104.0406022090165,250949.08125454886,528007056.04662037,241915.21383406676
198,2104.0406022090165,250045.69451250066,526106293.6618537,241915.21383406676
199,2030.0608213534108,250158.72879976008,507837434.4559661,251176.03738509474
200,1956.0810404978051,251186.54201339633,491341232.46061,260436.86093612268
